Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
166304000,00000116,false,0,6,00,90,F4,11,96,42,00,00,
166304000,00000102,false,0,6,14,96,D0,FF,96,FF,00,00,
166314000,0000000E,false,0,8,20,6D,3F,FF,08,FF,B0,80,
166314000,0000020E,false,0,8,88,10,00,13,BB,00,06,00,
166314000,0000040E,false,0,1,00,00,00,00,00,00,00,00,
166314000,00000168,false,0,8,A9,0C,1C,7F,00,00,B0,66,
166314000,00000108,false,0,4,00,00,0B,21,00,00,00,00,
166314000,00000168,false,0,8,A9,0C,1C,7F,00,00,B0,66,
166314000,000001F8,false,0,8,01,EF,F0,76,D3,B7,00,00,
166314000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166314000,00000228,false,0,4,40,C0,C0,87,00,00,00,00,
166314000,00000106,false,0,8,00,E0,00,00,FF,FF,00,E5,
166314000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166314000,00000116,false,0,6,00,90,F4,11,97,43,00,00,
166314000,000002C8,false,0,8,6E,80,03,7B,00,00,80,B6,
166314000,00000102,false,0,6,07,96,D2,FF,9B,FF,00,00,
166324000,0000000E,false,0,8,20,6D,3F,FF,08,FF,C0,D9,
166324000,000003D8,false,0,3,86,06,00,00,00,00,00,00,
166324000,00000408,false,0,1,A0,00,00,00,00,00,00,00,
166324000,00000228,false,0,4,40,C0,D0,4A,00,00,00,00,
166324000,00000154,false,0,8,04,17,14,00,00,00,00,00,
166324000,00000106,false,0,8,00,00,00,00,FF,FF,00,05,
166324000,00000116,false,0,6,00,90,F4,11,98,44,00,00,
166324000,00000102,false,0,6,09,96,D8,FF,9A,FF,00,00,
166334000,0000000E,false,0,8,20,6C,3F,FF,08,FF,D0,52,
166334000,00000106,false,0,8,00,20,00,00,FF,F1,00,4C,
166334000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166334000,00000168,false,0,8,AC,0C,1C,7F,00,00,C0,79,
166334000,000001F8,false,0,8,01,EF,F0,86,D3,C7,00,00,
166334000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166334000,00000228,false,0,4,40,C0,E0,00,00,00,00,00,
166334000,00000256,false,0,8,81,02,00,30,00,80,00,8B,
